Id,Name,Group,Total Docks before,Total Docks after,Date docks changed
11,Ellsworth Ave & N Neville St,Solar,19,15,9/7/2022
5,Allegheny Station,Solar,15,19,9/7/2022
14,Tioga St & N Homewood Ave,Solar,7,15,7/5/2023
29,Forbes Ave & Schenley Dr,Electric,19,23,7/12/2023
38,Allequippa St & Darragh St,Electric,19,23,7/12/2023
30,Shady Ave & Ellsworth Ave,Electric,11,15,7/13/2023
29,Forbes Ave & Schenley Dr,Electric,23,27,10/26/2023
13,S Bouquet Ave & Sennott St,Solar,19,23,10/26/2023
49,Technology Dr & Bates St,Solar,19,23,10/3/2024
20,Boulevard of the Allies & Parkview Ave,Solar,19,23,10/3/2024
